Row: 0, Col: 0, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 1, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 2, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 3, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 4, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 5, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 6, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 7, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 8, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 9, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 10, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 11, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 12, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 13, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 14, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 15, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 16, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 17, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 18, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 19, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 20, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 21, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 22, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 23, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 24, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 25, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 26, Pixel Value: 0.0, Spike Value: 0.0
Row: 0, Col: 27, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 0, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 1, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 2, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 3, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 4, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 5, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 6, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 7, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 8, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 9, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 10, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 11, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 12, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 13, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 14, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 15, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 16, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 17, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 18, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 19, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 20, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 21, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 22, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 23, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 24, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 25, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 26, Pixel Value: 0.0, Spike Value: 0.0
Row: 1, Col: 27, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 0, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 1, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 2, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 3, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 4, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 5, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 6, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 7, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 8, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 9, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 10, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 11, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 12, Pixel Value: 0.0, Spike Value: 0.0
Row: 2, Col: 13, Pixel Value: 0.0, Spike Value: 0.0
